                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2071,                 1.4573,                 1.1634,                 0.9781,                0.93967,                0.96543,                0.64139,                 1.1311,                0.66598,                 1.1455,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.1879,                0.74655,                 1.1429,                0.97849,                0.93968,                0.96829,                0.64242,                 1.1957,                0.58705,                 1.1882,              0.0065978,              0.0065978,              0.0065978
                      3,                 1.2166,                0.70373,                 1.1733,                0.98049,                0.92848,                0.96325,                0.64639,                 1.1874,                0.56836,                 1.1796,              0.0097992,              0.0097992,              0.0097992
                      4,                 1.2198,                0.68617,                 1.1846,                0.97299,                0.93989,                0.96513,                0.65929,                  1.153,                0.55631,                 1.1688,               0.009703,               0.009703,               0.009703
                      5,                 1.1901,                0.63853,                 1.1714,                 0.9743,                0.94402,                0.96956,                0.67619,                 1.1093,                0.53094,                 1.1455,               0.009604,               0.009604,               0.009604
                      6,                 1.1661,                 0.6064,                 1.1604,                0.97261,                0.94457,                0.97157,                0.67843,                 1.1252,                0.49002,                 1.1408,               0.009505,               0.009505,               0.009505
                      7,                 1.1565,                0.59028,                 1.1531,                0.98189,                0.94269,                0.97231,                0.68336,                 1.1125,                 0.4716,                 1.1405,               0.009406,               0.009406,               0.009406
                      8,                 1.1389,                 0.5672,                 1.1422,                0.98081,                0.94463,                0.97496,                0.68458,                  1.121,                0.46747,                 1.1394,               0.009307,               0.009307,               0.009307
                      9,                 1.1358,                0.56218,                 1.1406,                0.98239,                0.94402,                0.97203,                0.68814,                 1.1111,                0.46589,                 1.1364,               0.009208,               0.009208,               0.009208
                     10,                  1.127,                 0.5481,                 1.1337,                0.98154,                 0.9413,                0.97283,                0.68839,                 1.0997,                0.44794,                 1.1232,               0.009109,               0.009109,               0.009109
                     11,                 1.1164,                0.53598,                 1.1275,                0.98228,                0.94511,                0.97781,                0.69563,                 1.0999,                0.43556,                 1.1218,                0.00901,                0.00901,                0.00901
                     12,                 1.1078,                0.52586,                 1.1225,                0.98302,                0.94728,                0.97782,                0.69642,                 1.0986,                0.43344,                 1.1214,               0.008911,               0.008911,               0.008911
                     13,                 1.1033,                0.52299,                 1.1212,                 0.9815,                0.95147,                0.97577,                0.69898,                 1.0995,                0.42569,                 1.1227,               0.008812,               0.008812,               0.008812
